First_pokemon,First_Name,Second_pokemon,Second_Name,Winner,Winner_Name
258,Smoochum,779,Phantump,258,Smoochum
360,Trapinch,208,Sunflora,208,Sunflora
723,Braixen,646,Vanilluxe,646,Vanilluxe
384,Castform,533,Heat Rotom,533,Heat Rotom
734,Spewpa,673,Fraxure,673,Fraxure
141,Gyarados,721,Chesnaught,141,Gyarados
244,Delibird,741,Skiddo,244,Delibird
509,Mantyke,217,Unown,509,Mantyke
633,Zoroark,44,Ninetales,633,Zoroark
595,Conkeldurr,719,Chespin,595,Conkeldurr
606,Scolipede,40,Nidoking,606,Scolipede
368,Zangoose,598,Seismitoad,368,Zangoose
746,Espurr,584,Roggenrola,746,Espurr
350,Mega Sharpedo,187,Pichu,350,Mega Sharpedo
303,Pelipper,198,Bellossom,303,Pelipper
169,Meganium,701,Terrakion,701,Terrakion
569,Purrloin,115,Hitmonlee,115,Hitmonlee
231,Shuckle,172,Typhlosion,172,Typhlosion
71,Alakazam,440,Prinplup,71,Alakazam
659,Ferroseed,610,Lilligant,610,Lilligant
570,Liepard,557,Serperior,557,Serperior
712,Kyurem Black Kyurem,40,Nidoking,712,Kyurem Black Kyurem
451,Luxray,352,Wailord,451,Luxray
661,Klink,95,Dewgong,95,Dewgong
540,Azelf,4,Mega Venusaur,540,Azelf
130,Staryu,319,Loudred,130,Staryu
125,Mega Kangaskhan,418,Latias,418,Latias
309,Masquerain,276,Mega Sceptile,276,Mega Sceptile
579,Pidove,612,Sandile,612,Sandile
716,Meloetta Aria Forme,80,Tentacruel,80,Tentacruel
482,Chingling,535,Frost Rotom,535,Frost Rotom
376,Baltoy,37,Nidoqueen,37,Nidoqueen
6,Charmeleon,328,Mega Sableye,328,Mega Sableye
343,Volbeat,159,Moltres,159,Moltres
509,Mantyke,574,Simisear,574,Simisear
546,Giratina Origin Forme,530,Dusknoir,546,Giratina Origin Forme
486,Bronzong,229,Scizor,229,Scizor
686,Pawniard,213,Umbreon,213,Umbreon
304,Ralts,386,Shuppet,386,Shuppet
514,Magnezone,732,Talonflame,732,Talonflame
161,Dragonair,757,Inkay,161,Dragonair
150,Omanyte,265,Suicune,265,Suicune
436,Chimchar,701,Terrakion,701,Terrakion
221,Forretress,265,Suicune,265,Suicune
436,Chimchar,603,Leavanny,603,Leavanny
242,Remoraid,365,Swablu,242,Remoraid
792,Noivern,251,Phanpy,792,Noivern
607,Cottonee,295,Lombre,607,Cottonee
439,Piplup,209,Yanma,209,Yanma
657,Joltik,360,Trapinch,657,Joltik
436,Chimchar,40,Nidoking,40,Nidoking
325,Skitty,408,Shelgon,408,Shelgon
472,Ambipom,89,Magnemite,472,Ambipom
71,Alakazam,777,Goodra,71,Alakazam
47,Zubat,615,Darumaka,47,Zubat
5,Charmander,670,Lampent,5,Charmander
793,Xerneas,314,Slaking,314,Slaking
195,Flaaffy,461,Wormadam Trash Cloak,195,Flaaffy
493,Gabite,568,Stoutland,493,Gabite
400,Sealeo,341,Plusle,341,Plusle
63,,297,Seedot,63,
541,Dialga,446,Bibarel,541,Dialga
141,Gyarados,152,Kabuto,141,Gyarados
54,Venonat,115,Hitmonlee,115,Hitmonlee
378,Lileep,161,Dragonair,161,Dragonair
224,Steelix,316,Ninjask,316,Ninjask
311,Breloom,398,Mega Glalie,398,Mega Glalie
298,Nuzleaf,35,Nidoran♀,298,Nuzleaf
356,Torkoal,132,Mr. Mime,356,Torkoal
103,Mega Gengar,370,Lunatone,103,Mega Gengar
503,Drapion,453,Roserade,503,Drapion
600,Sawk,598,Seismitoad,600,Sawk
445,Bidoof,45,Jigglypuff,445,Bidoof
360,Trapinch,548,Phione,548,Phione
303,Pelipper,133,Scyther,133,Scyther
51,Vileplume,331,Aron,51,Vileplume
171,Quilava,559,Pignite,171,Quilava
758,Malamar,129,Seaking,758,Malamar
6,Charmeleon,255,Smeargle,6,Charmeleon
698,Larvesta,154,Aerodactyl,154,Aerodactyl
92,Doduo,491,Spiritomb,491,Spiritomb
381,Armaldo,73,Machop,381,Armaldo
354,Camerupt,271,Ho-oh,271,Ho-oh
219,Girafarig,49,Oddish,219,Girafarig
736,Litleo,244,Delibird,244,Delibird
683,Druddigon,245,Mantine,245,Mantine
533,Heat Rotom,452,Budew,533,Heat Rotom
200,Azumarill,588,Swoobat,588,Swoobat
403,Huntail,636,Gothita,403,Huntail
56,Diglett,561,Oshawott,561,Oshawott
54,Venonat,119,Weezing,119,Weezing
629,Archeops,141,Gyarados,629,Archeops
547,Cresselia,779,Phantump,547,Cresselia
380,Anorith,547,Cresselia,547,Cresselia
407,Bagon,307,Mega Gardevoir,307,Mega Gardevoir
153,Kabutops,559,Pignite,153,Kabutops
306,Gardevoir,268,Tyranitar,306,Gardevoir
89,Magnemite,382,Feebas,89,Magnemite
54,Venonat,32,Raichu,32,Raichu
172,Typhlosion,745,Furfrou,745,Furfrou
16,Butterfree,110,Electrode,110,Electrode
537,Mow Rotom,734,Spewpa,537,Mow Rotom
278,Combusken,94,Seel,278,Combusken
342,Minun,643,Swanna,643,Swanna
435,Torterra,165,Mega Mewtwo Y,165,Mega Mewtwo Y
638,Gothitelle,691,Vullaby,691,Vullaby
734,Spewpa,718,Genesect,718,Genesect
298,Nuzleaf,781,Pumpkaboo Average Size,298,Nuzleaf
42,Clefable,113,Cubone,42,Clefable
97,Muk,316,Ninjask,97,Muk
416,Regice,397,Glalie,397,Glalie
483,Stunky,400,Sealeo,483,Stunky
275,Sceptile,155,Mega Aerodactyl,155,Mega Aerodactyl
154,Aerodactyl,461,Wormadam Trash Cloak,154,Aerodactyl
309,Masquerain,4,Mega Venusaur,4,Mega Venusaur
539,Mesprit,30,Arbok,30,Arbok
545,Giratina Altered Forme,266,Larvitar,545,Giratina Altered Forme
283,Swampert,340,Mega Manectric,340,Mega Manectric
232,Heracross,254,Stantler,254,Stantler
384,Castform,427,Mega Rayquaza,427,Mega Rayquaza
161,Dragonair,781,Pumpkaboo Average Size,161,Dragonair
496,Munchlax,420,Latios,496,Munchlax
268,Tyranitar,159,Moltres,159,Moltres
473,Drifloon,593,Timburr,473,Drifloon
550,Darkrai,475,Buneary,550,Darkrai
199,Marill,785,Gourgeist Average Size,785,Gourgeist Average Size
385,Kecleon,732,Talonflame,732,Talonflame
488,Mime Jr.,196,Ampharos,488,Mime Jr.
30,Arbok,587,Woobat,30,Arbok
36,Nidorina,494,Garchomp,494,Garchomp
513,Weavile,184,Crobat,184,Crobat
129,Seaking,106,Hypno,129,Seaking
6,Charmeleon,604,Venipede,6,Charmeleon
137,Pinsir,315,Nincada,137,Pinsir
83,Golem,509,Mantyke,509,Mantyke
585,Boldore,534,Wash Rotom,585,Boldore
743,Pancham,57,Dugtrio,57,Dugtrio
220,Pineco,723,Braixen,723,Braixen
764,Clawitzer,665,Eelektrik,764,Clawitzer
708,Zekrom,439,Piplup,708,Zekrom
28,Fearow,545,Giratina Altered Forme,545,Giratina Altered Forme
23,Pidgeot,796,Diancie,23,Pidgeot
698,Larvesta,147,Jolteon,147,Jolteon
306,Gardevoir,635,Cinccino,635,Cinccino
158,Zapdos,666,Eelektross,158,Zapdos
55,Venomoth,750,Doublade,750,Doublade
513,Weavile,439,Piplup,513,Weavile
769,Amaura,264,Entei,264,Entei
232,Heracross,499,Mega Lucario,499,Mega Lucario
23,Pidgeot,623,Sigilyph,23,Pidgeot
97,Muk,250,Kingdra,250,Kingdra
324,Nosepass,544,Regigigas,544,Regigigas
517,Tangrowth,10,Squirtle,517,Tangrowth
586,Gigalith,461,Wormadam Trash Cloak,461,Wormadam Trash Cloak
779,Phantump,349,Sharpedo,349,Sharpedo
669,Litwick,226,Snubbull,226,Snubbull
623,Sigilyph,53,Parasect,623,Sigilyph
538,Uxie,718,Genesect,718,Genesect
438,Infernape,242,Remoraid,438,Infernape
523,Glaceon,759,Binacle,523,Glaceon
14,Caterpie,103,Mega Gengar,103,Mega Gengar
378,Lileep,152,Kabuto,152,Kabuto
478,Mismagius,361,Vibrava,478,Mismagius
137,Pinsir,698,Larvesta,137,Pinsir
354,Camerupt,739,Floette,739,Floette
233,Mega Heracross,684,Golett,684,Golett
291,Beautifly,605,Whirlipede,291,Beautifly
96,Grimer,264,Entei,264,Entei
730,Fletchling,137,Pinsir,137,Pinsir
129,Seaking,744,Pangoro,129,Seaking
611,Basculin,107,Krabby,611,Basculin
58,Meowth,560,Emboar,560,Emboar
658,Galvantula,146,Vaporeon,658,Galvantula
625,Cofagrigus,753,Spritzee,625,Cofagrigus
524,Gliscor,27,Spearow,524,Gliscor
794,Yveltal,474,Drifblim,794,Yveltal
365,Swablu,391,Tropius,391,Tropius
592,Mega Audino,585,Boldore,592,Mega Audino
512,Mega Abomasnow,586,Gigalith,512,Mega Abomasnow
526,Porygon-Z,424,Groudon,424,Groudon
70,Kadabra,456,Shieldon,70,Kadabra
540,Azelf,288,Linoone,540,Azelf
347,Swalot,389,Duskull,347,Swalot
689,Rufflet,128,Goldeen,128,Goldeen
211,Quagsire,701,Terrakion,701,Terrakion
336,Medicham,385,Kecleon,336,Medicham
594,Gurdurr,80,Tentacruel,80,Tentacruel
785,Gourgeist Average Size,490,Chatot,490,Chatot
425,Primal Groudon,308,Surskit,425,Primal Groudon
27,Spearow,731,Fletchinder,731,Fletchinder
459,Wormadam Plant Cloak,399,Spheal,459,Wormadam Plant Cloak
421,Mega Latios,494,Garchomp,421,Mega Latios
578,Musharna,768,Tyrantrum,768,Tyrantrum
63,,82,Graveler,63,
257,Hitmontop,221,Forretress,257,Hitmontop
4,Mega Venusaur,150,Omanyte,4,Mega Venusaur
546,Giratina Origin Forme,333,Aggron,546,Giratina Origin Forme
308,Surskit,544,Regigigas,544,Regigigas
213,Umbreon,442,Starly,213,Umbreon
575,Panpour,302,Wingull,302,Wingull
209,Yanma,645,Vanillish,209,Yanma
92,Doduo,768,Tyrantrum,92,Doduo
116,Hitmonchan,672,Axew,116,Hitmonchan
132,Mr. Mime,69,Abra,69,Abra
568,Stoutland,396,Snorunt,568,Stoutland
644,Vanillite,218,Wobbuffet,644,Vanillite
321,Makuhita,163,Mewtwo,163,Mewtwo
17,Weedle,164,Mega Mewtwo X,164,Mega Mewtwo X
715,Keldeo Resolute Forme,190,Togepi,715,Keldeo Resolute Forme
51,Vileplume,57,Dugtrio,51,Vileplume
237,Slugma,448,Kricketune,448,Kricketune
580,Tranquill,676,Beartic,580,Tranquill
789,Bergmite,726,Frogadier,726,Frogadier
420,Latios,718,Genesect,420,Latios
83,Golem,499,Mega Lucario,499,Mega Lucario
526,Porygon-Z,159,Moltres,159,Moltres
115,Hitmonlee,56,Diglett,56,Diglett
358,Grumpig,636,Gothita,358,Grumpig
54,Venonat,532,Rotom,532,Rotom
534,Wash Rotom,798,Hoopa Confined,534,Wash Rotom
768,Tyrantrum,179,Noctowl,768,Tyrantrum
94,Seel,724,Delphox,724,Delphox
795,Zygarde Half Forme,437,Monferno,795,Zygarde Half Forme
313,Vigoroth,432,Deoxys Speed Forme,432,Deoxys Speed Forme
305,Kirlia,251,Phanpy,305,Kirlia
269,Mega Tyranitar,289,Wurmple,269,Mega Tyranitar
593,Timburr,733,Scatterbug,733,Scatterbug
568,Stoutland,428,Jirachi,428,Jirachi
290,Silcoon,287,Zigzagoon,287,Zigzagoon
762,Dragalge,733,Scatterbug,762,Dragalge
217,Unown,100,Gastly,100,Gastly
668,Beheeyem,87,Slowbro,668,Beheeyem
165,Mega Mewtwo Y,49,Oddish,165,Mega Mewtwo Y
123,Tangela,771,Sylveon,771,Sylveon
261,Miltank,154,Aerodactyl,154,Aerodactyl
225,Mega Steelix,640,Duosion,640,Duosion
313,Vigoroth,103,Mega Gengar,103,Mega Gengar
106,Hypno,505,Toxicroak,505,Toxicroak
453,Roserade,614,Krookodile,614,Krookodile
107,Krabby,48,Golbat,48,Golbat
722,Fennekin,590,Excadrill,590,Excadrill
559,Pignite,431,Deoxys Defense Forme,431,Deoxys Defense Forme
141,Gyarados,727,Greninja,727,Greninja
490,Chatot,239,Swinub,490,Chatot
490,Chatot,340,Mega Manectric,340,Mega Manectric
373,Whiscash,128,Goldeen,128,Goldeen
3,Venusaur,730,Fletchling,3,Venusaur
502,Skorupi,91,Farfetch'd,502,Skorupi
714,Keldeo Ordinary Forme,104,Onix,714,Keldeo Ordinary Forme
788,Gourgeist Super Size,276,Mega Sceptile,276,Mega Sceptile
459,Wormadam Plant Cloak,16,Butterfree,16,Butterfree
432,Deoxys Speed Forme,143,Lapras,432,Deoxys Speed Forme
724,Delphox,2,Ivysaur,724,Delphox
648,Sawsbuck,533,Heat Rotom,648,Sawsbuck
250,Kingdra,357,Spoink,250,Kingdra
155,Mega Aerodactyl,439,Piplup,155,Mega Aerodactyl
447,Kricketot,20,Mega Beedrill,20,Mega Beedrill
366,Altaria,371,Solrock,366,Altaria
337,Mega Medicham,770,Aurorus,337,Mega Medicham
358,Grumpig,765,Helioptile,358,Grumpig
198,Bellossom,110,Electrode,198,Bellossom
152,Kabuto,760,Barbaracle,760,Barbaracle
164,Mega Mewtwo X,577,Munna,164,Mega Mewtwo X
174,Croconaw,646,Vanilluxe,646,Vanilluxe
438,Infernape,59,Persian,59,Persian
614,Krookodile,443,Staravia,614,Krookodile
789,Bergmite,127,Seadra,127,Seadra
504,Croagunk,421,Mega Latios,421,Mega Latios
565,Watchog,214,Murkrow,214,Murkrow
158,Zapdos,635,Cinccino,635,Cinccino
386,Shuppet,21,Pidgey,21,Pidgey
408,Shelgon,404,Gorebyss,404,Gorebyss
349,Sharpedo,440,Prinplup,349,Sharpedo
410,Mega Salamence,295,Lombre,410,Mega Salamence
83,Golem,569,Purrloin,569,Purrloin
249,Mega Houndoom,411,Beldum,249,Mega Houndoom
173,Totodile,609,Petilil,173,Totodile
770,Aurorus,572,Simisage,572,Simisage
51,Vileplume,473,Drifloon,473,Drifloon
452,Budew,106,Hypno,106,Hypno
550,Darkrai,769,Amaura,550,Darkrai
525,Mamoswine,740,Florges,525,Mamoswine
464,Vespiquen,762,Dragalge,762,Dragalge
147,Jolteon,798,Hoopa Confined,798,Hoopa Confined
572,Simisage,45,Jigglypuff,572,Simisage
569,Purrloin,741,Skiddo,569,Purrloin
193,Xatu,28,Fearow,28,Fearow
247,Houndour,445,Bidoof,247,Houndour
511,Abomasnow,280,Mega Blaziken,280,Mega Blaziken
435,Torterra,44,Ninetales,44,Ninetales
794,Yveltal,359,Spinda,794,Yveltal
196,Ampharos,758,Malamar,758,Malamar
470,Shellos,410,Mega Salamence,410,Mega Salamence
631,Garbodor,164,Mega Mewtwo X,164,Mega Mewtwo X
451,Luxray,790,Avalugg,451,Luxray
211,Quagsire,442,Starly,442,Starly
773,Dedenne,582,Blitzle,773,Dedenne
403,Huntail,59,Persian,59,Persian
401,Walrein,413,Metagross,413,Metagross
228,Qwilfish,679,Accelgor,679,Accelgor
753,Spritzee,196,Ampharos,196,Ampharos
578,Musharna,434,Grotle,434,Grotle
210,Wooper,40,Nidoking,40,Nidoking
38,Nidoran♂,716,Meloetta Aria Forme,716,Meloetta Aria Forme
18,Kakuna,458,Burmy,458,Burmy
538,Uxie,742,Gogoat,538,Uxie
702,Virizion,627,Carracosta,702,Virizion
403,Huntail,412,Metang,403,Huntail
517,Tangrowth,136,Magmar,136,Magmar
465,Pachirisu,89,Magnemite,465,Pachirisu
505,Toxicroak,502,Skorupi,505,Toxicroak
601,Sewaddle,644,Vanillite,644,Vanillite
459,Wormadam Plant Cloak,84,Ponyta,84,Ponyta
548,Phione,525,Mamoswine,525,Mamoswine
707,Reshiram,521,Yanmega,521,Yanmega
14,Caterpie,62,Mankey,62,Mankey
728,Bunnelby,501,Hippowdon,728,Bunnelby
182,Spinarak,246,Skarmory,246,Skarmory
741,Skiddo,117,Lickitung,741,Skiddo
29,Ekans,431,Deoxys Defense Forme,431,Deoxys Defense Forme
719,Chespin,574,Simisear,574,Simisear
209,Yanma,477,Mega Lopunny,477,Mega Lopunny
492,Gible,37,Nidoqueen,37,Nidoqueen
425,Primal Groudon,43,Vulpix,425,Primal Groudon
207,Sunkern,284,Mega Swampert,284,Mega Swampert
749,Honedge,512,Mega Abomasnow,512,Mega Abomasnow
539,Mesprit,153,Kabutops,153,Kabutops
152,Kabuto,159,Moltres,159,Moltres
738,Flabébé,18,Kakuna,738,Flabébé
182,Spinarak,579,Pidove,579,Pidove
69,Abra,302,Wingull,69,Abra
173,Totodile,713,Kyurem White Kyurem,713,Kyurem White Kyurem
488,Mime Jr.,199,Marill,488,Mime Jr.
683,Druddigon,506,Carnivine,683,Druddigon
2,Ivysaur,619,Dwebble,2,Ivysaur
735,Vivillon,255,Smeargle,735,Vivillon
70,Kadabra,800,Volcanion,70,Kadabra
120,Rhyhorn,67,Poliwhirl,67,Poliwhirl
738,Flabébé,610,Lilligant,610,Lilligant
68,Poliwrath,397,Glalie,397,Glalie
540,Azelf,714,Keldeo Ordinary Forme,540,Azelf
184,Crobat,197,Mega Ampharos,184,Crobat
577,Munna,58,Meowth,58,Meowth
750,Doublade,29,Ekans,29,Ekans
391,Tropius,640,Duosion,391,Tropius
211,Quagsire,737,Pyroar,211,Quagsire
462,Mothim,694,Durant,694,Durant
337,Mega Medicham,147,Jolteon,147,Jolteon
459,Wormadam Plant Cloak,644,Vanillite,644,Vanillite
615,Darumaka,652,Foongus,615,Darumaka
786,Gourgeist Small Size,180,Ledyba,786,Gourgeist Small Size
247,Houndour,594,Gurdurr,594,Gurdurr
536,Fan Rotom,720,Quilladin,536,Fan Rotom
729,Diggersby,586,Gigalith,586,Gigalith
715,Keldeo Resolute Forme,80,Tentacruel,715,Keldeo Resolute Forme
516,Rhyperior,740,Florges,516,Rhyperior
440,Prinplup,525,Mamoswine,525,Mamoswine
174,Croconaw,410,Mega Salamence,410,Mega Salamence
634,Minccino,424,Groudon,424,Groudon
252,Donphan,797,Mega Diancie,797,Mega Diancie
317,Shedinja,294,Lotad,317,Shedinja
463,Combee,790,Avalugg,790,Avalugg
770,Aurorus,7,Charizard,7,Charizard
110,Electrode,783,Pumpkaboo Large Size,110,Electrode
454,Cranidos,469,Cherrim,469,Cherrim
241,Corsola,731,Fletchinder,241,Corsola
688,Bouffalant,190,Togepi,688,Bouffalant
271,Ho-oh,21,Pidgey,271,Ho-oh
738,Flabébé,789,Bergmite,738,Flabébé
476,Lopunny,223,Gligar,476,Lopunny
574,Simisear,283,Swampert,574,Simisear
621,Scraggy,551,Shaymin Land Forme,551,Shaymin Land Forme
723,Braixen,617,Darmanitan Zen Mode,723,Braixen
1,Bulbasaur,679,Accelgor,679,Accelgor
595,Conkeldurr,131,Starmie,595,Conkeldurr
433,Turtwig,339,Manectric,339,Manectric
247,Houndour,452,Budew,247,Houndour
19,Beedrill,709,Landorus Incarnate Forme,709,Landorus Incarnate Forme
410,Mega Salamence,278,Combusken,410,Mega Salamence
103,Mega Gengar,142,Mega Gyarados,103,Mega Gengar
37,Nidoqueen,337,Mega Medicham,337,Mega Medicham
453,Roserade,29,Ekans,453,Roserade
73,Machop,113,Cubone,113,Cubone
374,Corphish,87,Slowbro,374,Corphish
634,Minccino,784,Pumpkaboo Super Size,784,Pumpkaboo Super Size
681,Mienfoo,790,Avalugg,681,Mienfoo
181,Ledian,765,Helioptile,181,Ledian
584,Roggenrola,498,Lucario,498,Lucario
586,Gigalith,590,Excadrill,590,Excadrill
732,Talonflame,1,Bulbasaur,732,Talonflame
478,Mismagius,524,Gliscor,478,Mismagius
734,Spewpa,19,Beedrill,19,Beedrill
634,Minccino,348,Carvanha,634,Minccino
567,Herdier,755,Swirlix,567,Herdier
354,Camerupt,82,Graveler,354,Camerupt
417,Registeel,783,Pumpkaboo Large Size,417,Registeel
420,Latios,85,Rapidash,420,Latios
610,Lilligant,215,Slowking,610,Lilligant
350,Mega Sharpedo,160,Dratini,350,Mega Sharpedo
122,Chansey,588,Swoobat,588,Swoobat
159,Moltres,77,Weepinbell,159,Moltres
398,Mega Glalie,598,Seismitoad,398,Mega Glalie
300,Taillow,704,Tornadus Therian Forme,704,Tornadus Therian Forme
508,Lumineon,293,Dustox,508,Lumineon
763,Clauncher,685,Golurk,685,Golurk
428,Jirachi,203,Hoppip,428,Jirachi
509,Mantyke,199,Marill,509,Mantyke
106,Hypno,592,Mega Audino,106,Hypno
550,Darkrai,394,Mega Absol,550,Darkrai
310,Shroomish,48,Golbat,48,Golbat
80,Tentacruel,314,Slaking,314,Slaking
463,Combee,203,Hoppip,463,Combee
484,Skuntank,9,Mega Charizard Y,9,Mega Charizard Y
700,Cobalion,49,Oddish,700,Cobalion
437,Monferno,533,Heat Rotom,533,Heat Rotom
73,Machop,485,Bronzor,73,Machop
627,Carracosta,314,Slaking,314,Slaking
216,Misdreavus,657,Joltik,216,Misdreavus
126,Horsea,617,Darmanitan Zen Mode,126,Horsea
632,Zorua,707,Reshiram,707,Reshiram
692,Mandibuzz,331,Aron,692,Mandibuzz
11,Wartortle,309,Masquerain,309,Masquerain
483,Stunky,22,Pidgeotto,483,Stunky
665,Eelektrik,170,Cyndaquil,170,Cyndaquil
540,Azelf,337,Mega Medicham,540,Azelf
39,Nidorino,299,Shiftry,299,Shiftry
761,Skrelp,762,Dragalge,762,Dragalge
441,Empoleon,1,Bulbasaur,441,Empoleon
434,Grotle,137,Pinsir,137,Pinsir
700,Cobalion,433,Turtwig,700,Cobalion
52,Paras,379,Cradily,379,Cradily
158,Zapdos,171,Quilava,158,Zapdos
769,Amaura,374,Corphish,769,Amaura
789,Bergmite,690,Braviary,690,Braviary
393,Absol,255,Smeargle,255,Smeargle
307,Mega Gardevoir,741,Skiddo,307,Mega Gardevoir
528,Mega Gallade,492,Gible,528,Mega Gallade
212,Espeon,24,Mega Pidgeot,24,Mega Pidgeot
99,Cloyster,173,Totodile,99,Cloyster
58,Meowth,253,Porygon2,58,Meowth
226,Snubbull,289,Wurmple,226,Snubbull
365,Swablu,609,Petilil,365,Swablu
409,Salamence,532,Rotom,409,Salamence
647,Deerling,294,Lotad,647,Deerling
15,Metapod,756,Slurpuff,756,Slurpuff
196,Ampharos,774,Carbink,196,Ampharos
265,Suicune,68,Poliwrath,265,Suicune
564,Patrat,749,Honedge,749,Honedge
750,Doublade,248,Houndoom,248,Houndoom
142,Mega Gyarados,107,Krabby,142,Mega Gyarados
427,Mega Rayquaza,404,Gorebyss,427,Mega Rayquaza
454,Cranidos,302,Wingull,302,Wingull
323,Azurill,574,Simisear,574,Simisear
262,Blissey,67,Poliwhirl,67,Poliwhirl
710,Landorus Therian Forme,434,Grotle,710,Landorus Therian Forme
291,Beautifly,666,Eelektross,291,Beautifly
233,Mega Heracross,445,Bidoof,233,Mega Heracross
126,Horsea,494,Garchomp,494,Garchomp
252,Donphan,108,Kingler,108,Kingler
69,Abra,212,Espeon,212,Espeon
120,Rhyhorn,342,Minun,120,Rhyhorn
224,Steelix,173,Totodile,173,Totodile
695,Deino,94,Seel,94,Seel
672,Axew,355,Mega Camerupt,672,Axew
409,Salamence,254,Stantler,409,Salamence
195,Flaaffy,607,Cottonee,607,Cottonee
528,Mega Gallade,327,Sableye,327,Sableye
127,Seadra,81,Geodude,127,Seadra
698,Larvesta,336,Medicham,336,Medicham
422,Kyogre,705,Thundurus Incarnate Forme,705,Thundurus Incarnate Forme
432,Deoxys Speed Forme,397,Glalie,432,Deoxys Speed Forme
409,Salamence,376,Baltoy,409,Salamence
582,Blitzle,424,Groudon,424,Groudon
521,Yanmega,268,Tyranitar,521,Yanmega
304,Ralts,708,Zekrom,708,Zekrom
385,Kecleon,492,Gible,492,Gible
560,Emboar,70,Kadabra,560,Emboar
545,Giratina Altered Forme,149,Porygon,149,Porygon
68,Poliwrath,362,Flygon,362,Flygon
672,Axew,732,Talonflame,732,Talonflame
632,Zorua,14,Caterpie,632,Zorua
641,Reuniclus,341,Plusle,341,Plusle
365,Swablu,428,Jirachi,428,Jirachi
594,Gurdurr,425,Primal Groudon,425,Primal Groudon
764,Clawitzer,529,Probopass,764,Clawitzer
397,Glalie,161,Dragonair,397,Glalie
111,Exeggcute,670,Lampent,670,Lampent
219,Girafarig,738,Flabébé,219,Girafarig
408,Shelgon,647,Deerling,647,Deerling
516,Rhyperior,107,Krabby,107,Krabby
622,Scrafty,736,Litleo,736,Litleo
212,Espeon,128,Goldeen,212,Espeon
685,Golurk,648,Sawsbuck,648,Sawsbuck
406,Luvdisc,420,Latios,420,Latios
501,Hippowdon,689,Rufflet,689,Rufflet
533,Heat Rotom,211,Quagsire,533,Heat Rotom
413,Metagross,580,Tranquill,413,Metagross
74,Machoke,277,Torchic,277,Torchic
460,Wormadam Sandy Cloak,713,Kyurem White Kyurem,713,Kyurem White Kyurem
450,Luxio,8,Mega Charizard X,8,Mega Charizard X
376,Baltoy,196,Ampharos,196,Ampharos
292,Cascoon,510,Snover,510,Snover
282,Marshtomp,186,Lanturn,282,Marshtomp
384,Castform,699,Volcarona,699,Volcarona
295,Lombre,741,Skiddo,741,Skiddo
346,Gulpin,790,Avalugg,346,Gulpin
269,Mega Tyranitar,187,Pichu,269,Mega Tyranitar
