First_pokemon,First_Name,Second_pokemon,Second_Name,Winner,Winner_Name,Winner_bool
482,Chingling,535,Frost Rotom,535,Frost Rotom,0
376,Baltoy,37,Nidoqueen,37,Nidoqueen,0
6,Charmeleon,328,Mega Sableye,328,Mega Sableye,0
343,Volbeat,159,Moltres,159,Moltres,0
509,Mantyke,574,Simisear,574,Simisear,0
546,Giratina Origin Forme,530,Dusknoir,546,Giratina Origin Forme,1
486,Bronzong,229,Scizor,229,Scizor,0
686,Pawniard,213,Umbreon,213,Umbreon,0
304,Ralts,386,Shuppet,386,Shuppet,0
514,Magnezone,732,Talonflame,732,Talonflame,0
161,Dragonair,757,Inkay,161,Dragonair,1
150,Omanyte,265,Suicune,265,Suicune,0
436,Chimchar,701,Terrakion,701,Terrakion,0
221,Forretress,265,Suicune,265,Suicune,0
436,Chimchar,603,Leavanny,603,Leavanny,0
242,Remoraid,365,Swablu,242,Remoraid,1
792,Noivern,251,Phanpy,792,Noivern,1
607,Cottonee,295,Lombre,607,Cottonee,1
439,Piplup,209,Yanma,209,Yanma,0
657,Joltik,360,Trapinch,657,Joltik,1
436,Chimchar,40,Nidoking,40,Nidoking,0
325,Skitty,408,Shelgon,408,Shelgon,0
472,Ambipom,89,Magnemite,472,Ambipom,1
71,Alakazam,777,Goodra,71,Alakazam,1
47,Zubat,615,Darumaka,47,Zubat,1
5,Charmander,670,Lampent,5,Charmander,1
793,Xerneas,314,Slaking,314,Slaking,0
195,Flaaffy,461,Wormadam Trash Cloak,195,Flaaffy,1
493,Gabite,568,Stoutland,493,Gabite,1
400,Sealeo,341,Plusle,341,Plusle,0
63,,297,Seedot,63,,1
541,Dialga,446,Bibarel,541,Dialga,1
141,Gyarados,152,Kabuto,141,Gyarados,1
54,Venonat,115,Hitmonlee,115,Hitmonlee,0
378,Lileep,161,Dragonair,161,Dragonair,0
224,Steelix,316,Ninjask,316,Ninjask,0
311,Breloom,398,Mega Glalie,398,Mega Glalie,0
298,Nuzleaf,35,Nidoran♀,298,Nuzleaf,1
356,Torkoal,132,Mr. Mime,356,Torkoal,1
103,Mega Gengar,370,Lunatone,103,Mega Gengar,1
503,Drapion,453,Roserade,503,Drapion,1
600,Sawk,598,Seismitoad,600,Sawk,1
445,Bidoof,45,Jigglypuff,445,Bidoof,1
360,Trapinch,548,Phione,548,Phione,0
303,Pelipper,133,Scyther,133,Scyther,0
51,Vileplume,331,Aron,51,Vileplume,1
171,Quilava,559,Pignite,171,Quilava,1
758,Malamar,129,Seaking,758,Malamar,1
6,Charmeleon,255,Smeargle,6,Charmeleon,1
698,Larvesta,154,Aerodactyl,154,Aerodactyl,0
92,Doduo,491,Spiritomb,491,Spiritomb,0
381,Armaldo,73,Machop,381,Armaldo,1
354,Camerupt,271,Ho-oh,271,Ho-oh,0
219,Girafarig,49,Oddish,219,Girafarig,1
736,Litleo,244,Delibird,244,Delibird,0
683,Druddigon,245,Mantine,245,Mantine,0
533,Heat Rotom,452,Budew,533,Heat Rotom,1
200,Azumarill,588,Swoobat,588,Swoobat,0
403,Huntail,636,Gothita,403,Huntail,1
56,Diglett,561,Oshawott,561,Oshawott,0
54,Venonat,119,Weezing,119,Weezing,0
629,Archeops,141,Gyarados,629,Archeops,1
547,Cresselia,779,Phantump,547,Cresselia,1
380,Anorith,547,Cresselia,547,Cresselia,0
407,Bagon,307,Mega Gardevoir,307,Mega Gardevoir,0
153,Kabutops,559,Pignite,153,Kabutops,1
306,Gardevoir,268,Tyranitar,306,Gardevoir,1
89,Magnemite,382,Feebas,89,Magnemite,1
54,Venonat,32,Raichu,32,Raichu,0
172,Typhlosion,745,Furfrou,745,Furfrou,0
16,Butterfree,110,Electrode,110,Electrode,0
537,Mow Rotom,734,Spewpa,537,Mow Rotom,1
278,Combusken,94,Seel,278,Combusken,1
342,Minun,643,Swanna,643,Swanna,0
435,Torterra,165,Mega Mewtwo Y,165,Mega Mewtwo Y,0
638,Gothitelle,691,Vullaby,691,Vullaby,0
734,Spewpa,718,Genesect,718,Genesect,0
298,Nuzleaf,781,Pumpkaboo Average Size,298,Nuzleaf,1
42,Clefable,113,Cubone,42,Clefable,1
97,Muk,316,Ninjask,97,Muk,1
416,Regice,397,Glalie,397,Glalie,0
483,Stunky,400,Sealeo,483,Stunky,1
275,Sceptile,155,Mega Aerodactyl,155,Mega Aerodactyl,0
154,Aerodactyl,461,Wormadam Trash Cloak,154,Aerodactyl,1
309,Masquerain,4,Mega Venusaur,4,Mega Venusaur,0
539,Mesprit,30,Arbok,30,Arbok,0
545,Giratina Altered Forme,266,Larvitar,545,Giratina Altered Forme,1
283,Swampert,340,Mega Manectric,340,Mega Manectric,0
232,Heracross,254,Stantler,254,Stantler,0
384,Castform,427,Mega Rayquaza,427,Mega Rayquaza,0
161,Dragonair,781,Pumpkaboo Average Size,161,Dragonair,1
496,Munchlax,420,Latios,496,Munchlax,1
268,Tyranitar,159,Moltres,159,Moltres,0
473,Drifloon,593,Timburr,473,Drifloon,1
550,Darkrai,475,Buneary,550,Darkrai,1
199,Marill,785,Gourgeist Average Size,785,Gourgeist Average Size,0
385,Kecleon,732,Talonflame,732,Talonflame,0
488,Mime Jr.,196,Ampharos,488,Mime Jr.,1
30,Arbok,587,Woobat,30,Arbok,1
36,Nidorina,494,Garchomp,494,Garchomp,0
513,Weavile,184,Crobat,184,Crobat,0
129,Seaking,106,Hypno,129,Seaking,1
6,Charmeleon,604,Venipede,6,Charmeleon,1
137,Pinsir,315,Nincada,137,Pinsir,1
83,Golem,509,Mantyke,509,Mantyke,0
585,Boldore,534,Wash Rotom,585,Boldore,1
743,Pancham,57,Dugtrio,57,Dugtrio,0
220,Pineco,723,Braixen,723,Braixen,0
764,Clawitzer,665,Eelektrik,764,Clawitzer,1
708,Zekrom,439,Piplup,708,Zekrom,1
28,Fearow,545,Giratina Altered Forme,545,Giratina Altered Forme,0
23,Pidgeot,796,Diancie,23,Pidgeot,1
698,Larvesta,147,Jolteon,147,Jolteon,0
306,Gardevoir,635,Cinccino,635,Cinccino,0
158,Zapdos,666,Eelektross,158,Zapdos,1
55,Venomoth,750,Doublade,750,Doublade,0
513,Weavile,439,Piplup,513,Weavile,1
769,Amaura,264,Entei,264,Entei,0
232,Heracross,499,Mega Lucario,499,Mega Lucario,0
23,Pidgeot,623,Sigilyph,23,Pidgeot,1
97,Muk,250,Kingdra,250,Kingdra,0
324,Nosepass,544,Regigigas,544,Regigigas,0
517,Tangrowth,10,Squirtle,517,Tangrowth,1
586,Gigalith,461,Wormadam Trash Cloak,461,Wormadam Trash Cloak,0
779,Phantump,349,Sharpedo,349,Sharpedo,0
669,Litwick,226,Snubbull,226,Snubbull,0
623,Sigilyph,53,Parasect,623,Sigilyph,1
538,Uxie,718,Genesect,718,Genesect,0
438,Infernape,242,Remoraid,438,Infernape,1
523,Glaceon,759,Binacle,523,Glaceon,1
14,Caterpie,103,Mega Gengar,103,Mega Gengar,0
378,Lileep,152,Kabuto,152,Kabuto,0
478,Mismagius,361,Vibrava,478,Mismagius,1
137,Pinsir,698,Larvesta,137,Pinsir,1
354,Camerupt,739,Floette,739,Floette,0
233,Mega Heracross,684,Golett,684,Golett,0
291,Beautifly,605,Whirlipede,291,Beautifly,1
96,Grimer,264,Entei,264,Entei,0
730,Fletchling,137,Pinsir,137,Pinsir,0
129,Seaking,744,Pangoro,129,Seaking,1
611,Basculin,107,Krabby,611,Basculin,1
58,Meowth,560,Emboar,560,Emboar,0
658,Galvantula,146,Vaporeon,658,Galvantula,1
625,Cofagrigus,753,Spritzee,625,Cofagrigus,1
524,Gliscor,27,Spearow,524,Gliscor,1
794,Yveltal,474,Drifblim,794,Yveltal,1
365,Swablu,391,Tropius,391,Tropius,0
592,Mega Audino,585,Boldore,592,Mega Audino,1
512,Mega Abomasnow,586,Gigalith,512,Mega Abomasnow,1
526,Porygon-Z,424,Groudon,424,Groudon,0
70,Kadabra,456,Shieldon,70,Kadabra,1
540,Azelf,288,Linoone,540,Azelf,1
347,Swalot,389,Duskull,347,Swalot,1
689,Rufflet,128,Goldeen,128,Goldeen,0
211,Quagsire,701,Terrakion,701,Terrakion,0
336,Medicham,385,Kecleon,336,Medicham,1
594,Gurdurr,80,Tentacruel,80,Tentacruel,0
785,Gourgeist Average Size,490,Chatot,490,Chatot,0
425,Primal Groudon,308,Surskit,425,Primal Groudon,1
27,Spearow,731,Fletchinder,731,Fletchinder,0
459,Wormadam Plant Cloak,399,Spheal,459,Wormadam Plant Cloak,1
421,Mega Latios,494,Garchomp,421,Mega Latios,1
578,Musharna,768,Tyrantrum,768,Tyrantrum,0
63,,82,Graveler,63,,1
257,Hitmontop,221,Forretress,257,Hitmontop,1
4,Mega Venusaur,150,Omanyte,4,Mega Venusaur,1
546,Giratina Origin Forme,333,Aggron,546,Giratina Origin Forme,1
308,Surskit,544,Regigigas,544,Regigigas,0
213,Umbreon,442,Starly,213,Umbreon,1
575,Panpour,302,Wingull,302,Wingull,0
209,Yanma,645,Vanillish,209,Yanma,1
92,Doduo,768,Tyrantrum,92,Doduo,1
116,Hitmonchan,672,Axew,116,Hitmonchan,1
132,Mr. Mime,69,Abra,69,Abra,0
568,Stoutland,396,Snorunt,568,Stoutland,1
644,Vanillite,218,Wobbuffet,644,Vanillite,1
321,Makuhita,163,Mewtwo,163,Mewtwo,0
17,Weedle,164,Mega Mewtwo X,164,Mega Mewtwo X,0
715,Keldeo Resolute Forme,190,Togepi,715,Keldeo Resolute Forme,1
51,Vileplume,57,Dugtrio,51,Vileplume,1
237,Slugma,448,Kricketune,448,Kricketune,0
580,Tranquill,676,Beartic,580,Tranquill,1
789,Bergmite,726,Frogadier,726,Frogadier,0
420,Latios,718,Genesect,420,Latios,1
83,Golem,499,Mega Lucario,499,Mega Lucario,0
526,Porygon-Z,159,Moltres,159,Moltres,0
115,Hitmonlee,56,Diglett,56,Diglett,0
358,Grumpig,636,Gothita,358,Grumpig,1
54,Venonat,532,Rotom,532,Rotom,0
534,Wash Rotom,798,Hoopa Confined,534,Wash Rotom,1
768,Tyrantrum,179,Noctowl,768,Tyrantrum,1
94,Seel,724,Delphox,724,Delphox,0
795,Zygarde Half Forme,437,Monferno,795,Zygarde Half Forme,1
313,Vigoroth,432,Deoxys Speed Forme,432,Deoxys Speed Forme,0
305,Kirlia,251,Phanpy,305,Kirlia,1
269,Mega Tyranitar,289,Wurmple,269,Mega Tyranitar,1
593,Timburr,733,Scatterbug,733,Scatterbug,0
568,Stoutland,428,Jirachi,428,Jirachi,0
290,Silcoon,287,Zigzagoon,287,Zigzagoon,0
762,Dragalge,733,Scatterbug,762,Dragalge,1
217,Unown,100,Gastly,100,Gastly,0
668,Beheeyem,87,Slowbro,668,Beheeyem,1
165,Mega Mewtwo Y,49,Oddish,165,Mega Mewtwo Y,1
123,Tangela,771,Sylveon,771,Sylveon,0
261,Miltank,154,Aerodactyl,154,Aerodactyl,0
225,Mega Steelix,640,Duosion,640,Duosion,0
313,Vigoroth,103,Mega Gengar,103,Mega Gengar,0
106,Hypno,505,Toxicroak,505,Toxicroak,0
453,Roserade,614,Krookodile,614,Krookodile,0
107,Krabby,48,Golbat,48,Golbat,0
722,Fennekin,590,Excadrill,590,Excadrill,0
559,Pignite,431,Deoxys Defense Forme,431,Deoxys Defense Forme,0
141,Gyarados,727,Greninja,727,Greninja,0
490,Chatot,239,Swinub,490,Chatot,1
490,Chatot,340,Mega Manectric,340,Mega Manectric,0
373,Whiscash,128,Goldeen,128,Goldeen,0
3,Venusaur,730,Fletchling,3,Venusaur,1
502,Skorupi,91,Farfetch'd,502,Skorupi,1
714,Keldeo Ordinary Forme,104,Onix,714,Keldeo Ordinary Forme,1
788,Gourgeist Super Size,276,Mega Sceptile,276,Mega Sceptile,0
459,Wormadam Plant Cloak,16,Butterfree,16,Butterfree,0
432,Deoxys Speed Forme,143,Lapras,432,Deoxys Speed Forme,1
724,Delphox,2,Ivysaur,724,Delphox,1
648,Sawsbuck,533,Heat Rotom,648,Sawsbuck,1
250,Kingdra,357,Spoink,250,Kingdra,1
155,Mega Aerodactyl,439,Piplup,155,Mega Aerodactyl,1
447,Kricketot,20,Mega Beedrill,20,Mega Beedrill,0
366,Altaria,371,Solrock,366,Altaria,1
337,Mega Medicham,770,Aurorus,337,Mega Medicham,1
358,Grumpig,765,Helioptile,358,Grumpig,1
198,Bellossom,110,Electrode,198,Bellossom,1
152,Kabuto,760,Barbaracle,760,Barbaracle,0
164,Mega Mewtwo X,577,Munna,164,Mega Mewtwo X,1
174,Croconaw,646,Vanilluxe,646,Vanilluxe,0
438,Infernape,59,Persian,59,Persian,0
614,Krookodile,443,Staravia,614,Krookodile,1
789,Bergmite,127,Seadra,127,Seadra,0
504,Croagunk,421,Mega Latios,421,Mega Latios,0
565,Watchog,214,Murkrow,214,Murkrow,0
158,Zapdos,635,Cinccino,635,Cinccino,0
386,Shuppet,21,Pidgey,21,Pidgey,0
408,Shelgon,404,Gorebyss,404,Gorebyss,0
349,Sharpedo,440,Prinplup,349,Sharpedo,1
410,Mega Salamence,295,Lombre,410,Mega Salamence,1
83,Golem,569,Purrloin,569,Purrloin,0
249,Mega Houndoom,411,Beldum,249,Mega Houndoom,1
173,Totodile,609,Petilil,173,Totodile,1
770,Aurorus,572,Simisage,572,Simisage,0
51,Vileplume,473,Drifloon,473,Drifloon,0
452,Budew,106,Hypno,106,Hypno,0
550,Darkrai,769,Amaura,550,Darkrai,1
525,Mamoswine,740,Florges,525,Mamoswine,1
464,Vespiquen,762,Dragalge,762,Dragalge,0
147,Jolteon,798,Hoopa Confined,798,Hoopa Confined,0
572,Simisage,45,Jigglypuff,572,Simisage,1
569,Purrloin,741,Skiddo,569,Purrloin,1
193,Xatu,28,Fearow,28,Fearow,0
247,Houndour,445,Bidoof,247,Houndour,1
511,Abomasnow,280,Mega Blaziken,280,Mega Blaziken,0
435,Torterra,44,Ninetales,44,Ninetales,0
794,Yveltal,359,Spinda,794,Yveltal,1
196,Ampharos,758,Malamar,758,Malamar,0
470,Shellos,410,Mega Salamence,410,Mega Salamence,0
631,Garbodor,164,Mega Mewtwo X,164,Mega Mewtwo X,0
451,Luxray,790,Avalugg,451,Luxray,1
211,Quagsire,442,Starly,442,Starly,0
773,Dedenne,582,Blitzle,773,Dedenne,1
403,Huntail,59,Persian,59,Persian,0
401,Walrein,413,Metagross,413,Metagross,0
228,Qwilfish,679,Accelgor,679,Accelgor,0
753,Spritzee,196,Ampharos,196,Ampharos,0
578,Musharna,434,Grotle,434,Grotle,0
210,Wooper,40,Nidoking,40,Nidoking,0
38,Nidoran♂,716,Meloetta Aria Forme,716,Meloetta Aria Forme,0
18,Kakuna,458,Burmy,458,Burmy,0
538,Uxie,742,Gogoat,538,Uxie,1
702,Virizion,627,Carracosta,702,Virizion,1
403,Huntail,412,Metang,403,Huntail,1
517,Tangrowth,136,Magmar,136,Magmar,0
465,Pachirisu,89,Magnemite,465,Pachirisu,1
505,Toxicroak,502,Skorupi,505,Toxicroak,1
601,Sewaddle,644,Vanillite,644,Vanillite,0
459,Wormadam Plant Cloak,84,Ponyta,84,Ponyta,0
548,Phione,525,Mamoswine,525,Mamoswine,0
707,Reshiram,521,Yanmega,521,Yanmega,0
14,Caterpie,62,Mankey,62,Mankey,0
728,Bunnelby,501,Hippowdon,728,Bunnelby,1
182,Spinarak,246,Skarmory,246,Skarmory,0
741,Skiddo,117,Lickitung,741,Skiddo,1
29,Ekans,431,Deoxys Defense Forme,431,Deoxys Defense Forme,0
719,Chespin,574,Simisear,574,Simisear,0
209,Yanma,477,Mega Lopunny,477,Mega Lopunny,0
492,Gible,37,Nidoqueen,37,Nidoqueen,0
425,Primal Groudon,43,Vulpix,425,Primal Groudon,1
207,Sunkern,284,Mega Swampert,284,Mega Swampert,0
749,Honedge,512,Mega Abomasnow,512,Mega Abomasnow,0
539,Mesprit,153,Kabutops,153,Kabutops,0
152,Kabuto,159,Moltres,159,Moltres,0
738,Flabébé,18,Kakuna,738,Flabébé,1
182,Spinarak,579,Pidove,579,Pidove,0
69,Abra,302,Wingull,69,Abra,1
173,Totodile,713,Kyurem White Kyurem,713,Kyurem White Kyurem,0
488,Mime Jr.,199,Marill,488,Mime Jr.,1
683,Druddigon,506,Carnivine,683,Druddigon,1
2,Ivysaur,619,Dwebble,2,Ivysaur,1
735,Vivillon,255,Smeargle,735,Vivillon,1
70,Kadabra,800,Volcanion,70,Kadabra,1
120,Rhyhorn,67,Poliwhirl,67,Poliwhirl,0
738,Flabébé,610,Lilligant,610,Lilligant,0
68,Poliwrath,397,Glalie,397,Glalie,0
540,Azelf,714,Keldeo Ordinary Forme,540,Azelf,1
184,Crobat,197,Mega Ampharos,184,Crobat,1
577,Munna,58,Meowth,58,Meowth,0
750,Doublade,29,Ekans,29,Ekans,0
391,Tropius,640,Duosion,391,Tropius,1
211,Quagsire,737,Pyroar,211,Quagsire,1
462,Mothim,694,Durant,694,Durant,0
337,Mega Medicham,147,Jolteon,147,Jolteon,0
459,Wormadam Plant Cloak,644,Vanillite,644,Vanillite,0
615,Darumaka,652,Foongus,615,Darumaka,1
786,Gourgeist Small Size,180,Ledyba,786,Gourgeist Small Size,1
247,Houndour,594,Gurdurr,594,Gurdurr,0
536,Fan Rotom,720,Quilladin,536,Fan Rotom,1
729,Diggersby,586,Gigalith,586,Gigalith,0
715,Keldeo Resolute Forme,80,Tentacruel,715,Keldeo Resolute Forme,1
516,Rhyperior,740,Florges,516,Rhyperior,1
440,Prinplup,525,Mamoswine,525,Mamoswine,0
174,Croconaw,410,Mega Salamence,410,Mega Salamence,0
634,Minccino,424,Groudon,424,Groudon,0
252,Donphan,797,Mega Diancie,797,Mega Diancie,0
317,Shedinja,294,Lotad,317,Shedinja,1
463,Combee,790,Avalugg,790,Avalugg,0
770,Aurorus,7,Charizard,7,Charizard,0
110,Electrode,783,Pumpkaboo Large Size,110,Electrode,1
454,Cranidos,469,Cherrim,469,Cherrim,0
241,Corsola,731,Fletchinder,241,Corsola,1
688,Bouffalant,190,Togepi,688,Bouffalant,1
271,Ho-oh,21,Pidgey,271,Ho-oh,1
738,Flabébé,789,Bergmite,738,Flabébé,1
476,Lopunny,223,Gligar,476,Lopunny,1
574,Simisear,283,Swampert,574,Simisear,1
621,Scraggy,551,Shaymin Land Forme,551,Shaymin Land Forme,0
723,Braixen,617,Darmanitan Zen Mode,723,Braixen,1
1,Bulbasaur,679,Accelgor,679,Accelgor,0
595,Conkeldurr,131,Starmie,595,Conkeldurr,1
433,Turtwig,339,Manectric,339,Manectric,0
247,Houndour,452,Budew,247,Houndour,1
19,Beedrill,709,Landorus Incarnate Forme,709,Landorus Incarnate Forme,0
410,Mega Salamence,278,Combusken,410,Mega Salamence,1
103,Mega Gengar,142,Mega Gyarados,103,Mega Gengar,1
37,Nidoqueen,337,Mega Medicham,337,Mega Medicham,0
453,Roserade,29,Ekans,453,Roserade,1
73,Machop,113,Cubone,113,Cubone,0
374,Corphish,87,Slowbro,374,Corphish,1
634,Minccino,784,Pumpkaboo Super Size,784,Pumpkaboo Super Size,0
681,Mienfoo,790,Avalugg,681,Mienfoo,1
181,Ledian,765,Helioptile,181,Ledian,1
584,Roggenrola,498,Lucario,498,Lucario,0
586,Gigalith,590,Excadrill,590,Excadrill,0
732,Talonflame,1,Bulbasaur,732,Talonflame,1
478,Mismagius,524,Gliscor,478,Mismagius,1
734,Spewpa,19,Beedrill,19,Beedrill,0
634,Minccino,348,Carvanha,634,Minccino,1
567,Herdier,755,Swirlix,567,Herdier,1
354,Camerupt,82,Graveler,354,Camerupt,1
417,Registeel,783,Pumpkaboo Large Size,417,Registeel,1
420,Latios,85,Rapidash,420,Latios,1
610,Lilligant,215,Slowking,610,Lilligant,1
350,Mega Sharpedo,160,Dratini,350,Mega Sharpedo,1
122,Chansey,588,Swoobat,588,Swoobat,0
159,Moltres,77,Weepinbell,159,Moltres,1
398,Mega Glalie,598,Seismitoad,398,Mega Glalie,1
300,Taillow,704,Tornadus Therian Forme,704,Tornadus Therian Forme,0
508,Lumineon,293,Dustox,508,Lumineon,1
763,Clauncher,685,Golurk,685,Golurk,0
428,Jirachi,203,Hoppip,428,Jirachi,1
509,Mantyke,199,Marill,509,Mantyke,1
106,Hypno,592,Mega Audino,106,Hypno,1
550,Darkrai,394,Mega Absol,550,Darkrai,1
310,Shroomish,48,Golbat,48,Golbat,0
80,Tentacruel,314,Slaking,314,Slaking,0
463,Combee,203,Hoppip,463,Combee,1
484,Skuntank,9,Mega Charizard Y,9,Mega Charizard Y,0
700,Cobalion,49,Oddish,700,Cobalion,1
437,Monferno,533,Heat Rotom,533,Heat Rotom,0
73,Machop,485,Bronzor,73,Machop,1
627,Carracosta,314,Slaking,314,Slaking,0
216,Misdreavus,657,Joltik,216,Misdreavus,1
126,Horsea,617,Darmanitan Zen Mode,126,Horsea,1
632,Zorua,707,Reshiram,707,Reshiram,0
692,Mandibuzz,331,Aron,692,Mandibuzz,1
11,Wartortle,309,Masquerain,309,Masquerain,0
483,Stunky,22,Pidgeotto,483,Stunky,1
665,Eelektrik,170,Cyndaquil,170,Cyndaquil,0
540,Azelf,337,Mega Medicham,540,Azelf,1
39,Nidorino,299,Shiftry,299,Shiftry,0
761,Skrelp,762,Dragalge,762,Dragalge,0
441,Empoleon,1,Bulbasaur,441,Empoleon,1
434,Grotle,137,Pinsir,137,Pinsir,0
700,Cobalion,433,Turtwig,700,Cobalion,1
52,Paras,379,Cradily,379,Cradily,0
158,Zapdos,171,Quilava,158,Zapdos,1
769,Amaura,374,Corphish,769,Amaura,1
789,Bergmite,690,Braviary,690,Braviary,0
393,Absol,255,Smeargle,255,Smeargle,0
307,Mega Gardevoir,741,Skiddo,307,Mega Gardevoir,1
528,Mega Gallade,492,Gible,528,Mega Gallade,1
212,Espeon,24,Mega Pidgeot,24,Mega Pidgeot,0
99,Cloyster,173,Totodile,99,Cloyster,1
58,Meowth,253,Porygon2,58,Meowth,1
226,Snubbull,289,Wurmple,226,Snubbull,1
365,Swablu,609,Petilil,365,Swablu,1
409,Salamence,532,Rotom,409,Salamence,1
647,Deerling,294,Lotad,647,Deerling,1
15,Metapod,756,Slurpuff,756,Slurpuff,0
196,Ampharos,774,Carbink,196,Ampharos,1
265,Suicune,68,Poliwrath,265,Suicune,1
564,Patrat,749,Honedge,749,Honedge,0
750,Doublade,248,Houndoom,248,Houndoom,0
142,Mega Gyarados,107,Krabby,142,Mega Gyarados,1
427,Mega Rayquaza,404,Gorebyss,427,Mega Rayquaza,1
454,Cranidos,302,Wingull,302,Wingull,0
323,Azurill,574,Simisear,574,Simisear,0
262,Blissey,67,Poliwhirl,67,Poliwhirl,0
710,Landorus Therian Forme,434,Grotle,710,Landorus Therian Forme,1
291,Beautifly,666,Eelektross,291,Beautifly,1
233,Mega Heracross,445,Bidoof,233,Mega Heracross,1
126,Horsea,494,Garchomp,494,Garchomp,0
252,Donphan,108,Kingler,108,Kingler,0
69,Abra,212,Espeon,212,Espeon,0
120,Rhyhorn,342,Minun,120,Rhyhorn,1
224,Steelix,173,Totodile,173,Totodile,0
695,Deino,94,Seel,94,Seel,0
672,Axew,355,Mega Camerupt,672,Axew,1
409,Salamence,254,Stantler,409,Salamence,1
